[root@pacstat1 pssh]# sh batch-get.sh 
[345] 21:40:42 [SUCCESS] 10.10.56.214
[346] 21:40:42 [SUCCESS] 10.10.56.212
[347] 21:40:42 [SUCCESS] 10.10.56.215
[348] 21:40:42 [SUCCESS] 10.10.56.164
[349] 21:40:42 [SUCCESS] 10.10.56.166
[350] 21:40:42 [SUCCESS] 10.10.237.15
[351] 21:40:42 [SUCCESS] 10.10.101.10
[352] 21:40:42 [SUCCESS] 10.10.237.16
[353] 21:40:42 [SUCCESS] 10.10.237.14
[354] 21:40:42 [SUCCESS] 10.10.237.20
[355] 21:40:42 [SUCCESS] 10.10.237.23
[356] 21:40:42 [SUCCESS] 10.10.237.17
[357] 21:40:42 [SUCCESS] 10.10.237.18
[358] 21:40:42 [SUCCESS] 10.10.237.19
[359] 21:40:42 [SUCCESS] 10.10.237.26
[360] 21:40:42 [SUCCESS] 10.10.237.31
[361] 21:40:42 [SUCCESS] 10.10.237.30
[362] 21:40:42 [SUCCESS] 10.10.237.24
[363] 21:40:42 [SUCCESS] 10.10.237.32
[364] 21:40:42 [SUCCESS] 10.10.237.25
[365] 21:40:42 [SUCCESS] 10.10.237.27
[366] 21:40:42 [SUCCESS] 10.10.237.33
[367] 21:40:42 [SUCCESS] 10.10.237.28
[368] 21:40:42 [SUCCESS] 10.10.237.36
[369] 21:40:42 [SUCCESS] 10.10.101.16
[370] 21:40:42 [SUCCESS] 10.10.237.34
[371] 21:40:42 [SUCCESS] 10.10.237.35
[372] 21:40:42 [SUCCESS] 10.10.237.47
[373] 21:40:42 [SUCCESS] 10.10.237.48
[374] 21:40:42 [SUCCESS] 10.10.101.15
[375] 21:40:42 [SUCCESS] 10.10.101.18
[376] 21:40:42 [SUCCESS] 10.10.237.43
[377] 21:40:42 [SUCCESS] 10.10.101.21
[378] 21:40:42 [SUCCESS] 10.10.101.22
[379] 21:40:42 [SUCCESS] 10.10.237.49
[380] 21:40:42 [SUCCESS] 10.10.101.17
[381] 21:40:42 [SUCCESS] 10.10.101.20
[382] 21:40:42 [SUCCESS] 10.10.101.24
[383] 21:40:42 [SUCCESS] 10.10.101.19
[384] 21:40:42 [SUCCESS] 10.10.101.23
[385] 21:40:42 [SUCCESS] 10.10.237.51
[386] 21:40:42 [SUCCESS] 10.10.237.50
